,key1,key2,similarity
0,Broccoli (feat. Lil Yachty),Caroline,1181.3843421936035
1,HUMBLE.,Congratulations,1138.4380435943604
2,HUMBLE.,DNA.,1125.4633388519287
3,XO TOUR Llif3,Congratulations,1068.4321975708008
4,HUMBLE.,Mask Off,1007.4390602111816
5,HUMBLE.,XO TOUR Llif3,987.3068161010742
6,Bad and Boujee (feat. Lil Uzi Vert),Bounce Back,959.6025924682616
7,One Dance,Too Good,948.3710289001464
8,HUMBLE.,Tunnel Vision,924.9315242767334
9,HUMBLE.,Slippery (feat. Gucci Mane),883.1364250183105
10,XO TOUR Llif3,Mask Off,882.4561386108398
11,Mask Off,Bad and Boujee (feat. Lil Uzi Vert),875.0549745559692
12,Congratulations,Bad and Boujee (feat. Lil Uzi Vert),862.9875183105469
13,Fake Love,Bounce Back,860.6706190109253
14,Mask Off,Congratulations,841.781042098999
15,iSpy (feat. Lil Yachty),Bounce Back,837.1908187866211
16,HUMBLE.,iSpy (feat. Lil Yachty),834.2108097076416
17,XO TOUR Llif3,Bad and Boujee (feat. Lil Uzi Vert),824.5848655700684
18,Congratulations,Tunnel Vision,823.3652801513672
19,XO TOUR Llif3,Tunnel Vision,822.690390586853
20,Congratulations,Bounce Back,821.7726173400879
21,Fake Love,Caroline,821.2538108825684
22,Mask Off,iSpy (feat. Lil Yachty),821.1714191436768
23,Congratulations,T-Shirt,819.7309255599976
24,XO TOUR Llif3,iSpy (feat. Lil Yachty),817.8100261688232
25,Closer,Cold Water (feat. Justin Bieber & MØ),815.6470708847046
26,XO TOUR Llif3,goosebumps,811.6317596435547
27,Slippery (feat. Gucci Mane),T-Shirt,809.3289375305176
28,HUMBLE.,Broccoli (feat. Lil Yachty),802.3322296142578
29,HUMBLE.,goosebumps,798.2875366210938
30,Mask Off,goosebumps,783.008243560791
31,XO TOUR Llif3,Bounce Back,770.1826839447021
32,Mask Off,Tunnel Vision,767.6547203063965
33,Don't Let Me Down,Closer,754.0419769287109
34,Congratulations,Slippery (feat. Gucci Mane),752.9776096343994
35,XO TOUR Llif3,Magnolia,751.5921173095703
36,Caroline,Bad and Boujee (feat. Lil Uzi Vert),749.1159286499023
37,Bad and Boujee (feat. Lil Uzi Vert),X (feat. Future),738.4723405838013
38,Jumpman,Panda,732.5620174407959
39,Congratulations,iSpy (feat. Lil Yachty),727.8037261962891
40,Black Beatles,Caroline,726.7597141265869
41,iSpy (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),724.5900402069092
42,Fake Love,iSpy (feat. Lil Yachty),717.2115325927734
43,HUMBLE.,I'm the One,716.1664066314697
44,Mask Off,DNA.,711.0219812393188
45,XO TOUR Llif3,DNA.,708.1114873886108
46,The Hills,Can't Feel My Face,705.6005334854126
47,Broccoli (feat. Lil Yachty),Chill Bill,704.7607612609863
48,Congratulations,Swang,699.9866752624512
49,HUMBLE.,Bank Account,699.6959743499756
50,Slippery (feat. Gucci Mane),Bounce Back,692.918586730957
51,I'm the One,Despacito - Remix,686.0957889556885
52,Congratulations,rockstar,685.8771743774414
53,Broccoli (feat. Lil Yachty),Black Beatles,682.9166507720947
54,Fake Love,Bad and Boujee (feat. Lil Uzi Vert),677.1925888061523
55,You Was Right,Money Longer,676.5297546386719
56,Congratulations,Drowning (feat. Kodak Black),671.7961578369141
57,XO TOUR Llif3,Bank Account,667.3762464523315
58,Mask Off,Bounce Back,663.9761581420898
59,XO TOUR Llif3,Slippery (feat. Gucci Mane),663.0638580322266
60,DNA.,Congratulations,661.6872539520264
61,Slippery (feat. Gucci Mane),Bad and Boujee (feat. Lil Uzi Vert),655.5102787017822
62,Chill Bill,Caroline,654.260687828064
63,Mask Off,Slippery (feat. Gucci Mane),653.006534576416
64,One Dance,Work,652.1647796630859
65,HUMBLE.,Bad and Boujee (feat. Lil Uzi Vert),651.771312713623
66,HUMBLE.,T-Shirt,651.5467100143433
67,Broccoli (feat. Lil Yachty),iSpy (feat. Lil Yachty),649.6003818511963
68,goosebumps,DNA.,649.0247936248779
69,HUMBLE.,Bounce Back,647.6282501220703
70,What Do You Mean?,Sorry,643.9289569854736
71,Caroline,Bounce Back,642.8512115478516
72,XO TOUR Llif3,Swang,642.0839948654175
73,Broccoli (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),641.8820476531982
74,Caroline,iSpy (feat. Lil Yachty),637.513017654419
75,I'm the One,Congratulations,637.2326354980469
76,XO TOUR Llif3,Broccoli (feat. Lil Yachty),635.7519340515137
77,XO TOUR Llif3,I'm the One,631.9145584106445
78,No Problem (feat. Lil Wayne & 2 Chainz),Caroline,629.7787818908691
79,I'm the One,iSpy (feat. Lil Yachty),629.5374126434326
80,XO TOUR Llif3,rockstar,629.1415977478027
81,HUMBLE.,Caroline,627.2342529296875
82,No Problem (feat. Lil Wayne & 2 Chainz),Broccoli (feat. Lil Yachty),624.832124710083
83,Trap Queen,679 (feat. Remy Boyz),622.1651916503906
84,One Dance,Don't Let Me Down,622.036600112915
85,HUMBLE.,Redbone,621.7966079711914
86,HUMBLE.,Location,618.1837768554688
87,goosebumps,T-Shirt,613.9972486495972
88,One Dance,Pop Style,613.7876129150391
89,Fake Love,Congratulations,612.1764678955078
90,HUMBLE.,Drowning (feat. Kodak Black),611.8334341049194
91,Bad and Boujee (feat. Lil Uzi Vert),Swang,608.5848484039307
92,rockstar,Bank Account,607.1197471618652
93,Mask Off,T-Shirt,606.7025604248047
