,key1,key2,similarity
0,HUMBLE.,DNA.,1128.822898864746
1,HUMBLE.,XO TOUR Llif3,1048.064171791077
2,One Dance,Too Good,900.1487064361572
3,iSpy (feat. Lil Yachty),Bounce Back,897.468544960022
4,Bad and Boujee (feat. Lil Uzi Vert),Bounce Back,886.8051671981812
5,Congratulations,iSpy (feat. Lil Yachty),873.3645057678223
6,No Problem (feat. Lil Wayne & 2 Chainz),Broccoli (feat. Lil Yachty),871.1944704055786
7,HUMBLE.,Congratulations,844.5140590667725
8,HUMBLE.,iSpy (feat. Lil Yachty),838.0908393859863
9,Closer,Cold Water (feat. Justin Bieber & MØ),837.1924133300781
10,XO TOUR Llif3,Drowning (feat. Kodak Black),831.904257774353
11,Caroline,iSpy (feat. Lil Yachty),827.0439720153809
12,HUMBLE.,Bounce Back,822.8688354492188
13,XO TOUR Llif3,Congratulations,797.7627182006836
14,iSpy (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),795.363917350769
15,goosebumps,Congratulations,789.5353546142578
16,HUMBLE.,Mask Off,776.6439199447632
17,Broccoli (feat. Lil Yachty),Black Beatles,772.8617706298828
18,XO TOUR Llif3,DNA.,763.0262432098389
19,One Dance,Broccoli (feat. Lil Yachty),761.1315078735352
20,XO TOUR Llif3,Mask Off,756.3910102844238
21,No Problem (feat. Lil Wayne & 2 Chainz),Caroline,755.7345056533813
22,Broccoli (feat. Lil Yachty),Caroline,750.0853061676025
23,XO TOUR Llif3,goosebumps,749.1985130310059
24,Broccoli (feat. Lil Yachty),iSpy (feat. Lil Yachty),742.4004077911377
25,XO TOUR Llif3,Magnolia,739.2709493637085
26,Jumpman,Antidote,737.1414108276367
27,Broccoli (feat. Lil Yachty),Bounce Back,728.9164543151855
28,One Dance,Controlla,728.4950923919678
29,XO TOUR Llif3,Swang,723.3272495269775
30,XO TOUR Llif3,Tunnel Vision,722.8885927200317
31,One Dance,Jumpman,722.6876258850098
32,No Role Modelz,Wet Dreamz,721.3607940673828
33,goosebumps,Bad and Boujee (feat. Lil Uzi Vert),718.601411819458
34,Black Beatles,Caroline,717.481897354126
35,Caroline,Bounce Back,717.2866554260254
36,Broccoli (feat. Lil Yachty),Chill Bill,714.15758228302
37,Mask Off,iSpy (feat. Lil Yachty),708.4616374969482
38,One Dance,Needed Me,706.0153388977051
39,Mask Off,Bounce Back,695.5940914154053
40,HUMBLE.,Slippery (feat. Gucci Mane),693.6635398864746
41,Jumpman,Broccoli (feat. Lil Yachty),691.681812286377
42,T-Shirt,Bounce Back,691.2566757202148
43,Broccoli (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),689.5647230148315
44,Mask Off,Bad and Boujee (feat. Lil Uzi Vert),687.315896987915
45,Mask Off,Tunnel Vision,686.9859066009521
46,XO TOUR Llif3,Bad and Boujee (feat. Lil Uzi Vert),686.0545883178711
47,XO TOUR Llif3,iSpy (feat. Lil Yachty),680.9520120620728
48,Congratulations,Bad and Boujee (feat. Lil Uzi Vert),676.0068893432617
49,XO TOUR Llif3,Slippery (feat. Gucci Mane),674.1149339675903
50,Caroline,Bad and Boujee (feat. Lil Uzi Vert),667.3941535949707
51,Congratulations,Swang,662.8444919586182
52,iSpy (feat. Lil Yachty),Swang,653.3924932479858
53,HUMBLE.,goosebumps,653.1443309783936
54,HUMBLE.,Tunnel Vision,652.1551284790039
55,T-Shirt,Bad and Boujee (feat. Lil Uzi Vert),651.508710861206
56,XO TOUR Llif3,Butterfly Effect,647.8673286437988
57,XO TOUR Llif3,T-Shirt,645.2866735458374
58,XO TOUR Llif3,Unforgettable,643.7227563858032
59,Congratulations,Bounce Back,643.1263875961304
60,DNA.,Congratulations,642.7819232940674
61,Bad and Boujee (feat. Lil Uzi Vert),X (feat. Future),642.6004810333252
62,T-Shirt,Swang,640.5034742355347
63,Magnolia,Bank Account,639.6319198608398
64,Slippery (feat. Gucci Mane),Bank Account,637.4400787353516
65,One Dance,Closer,637.1354084014893
66,I'm the One,Congratulations,633.7881698608398
67,One Dance,Work,633.5314807891846
68,Trap Queen,679 (feat. Remy Boyz),632.5345649719238
69,Tunnel Vision,Bad and Boujee (feat. Lil Uzi Vert),631.818151473999
70,Mask Off,Broccoli (feat. Lil Yachty),630.8548736572266
71,Don't Let Me Down,Closer,630.6532459259033
72,Sorry,Love Yourself,627.0691909790039
73,No Role Modelz,Broccoli (feat. Lil Yachty),622.0954351425171
74,I'm the One,Despacito - Remix,620.4692649841309
75,XO TOUR Llif3,I'm the One,619.2762765884399
76,HUMBLE.,Magnolia,618.7099685668945
77,HUMBLE.,I'm the One,617.0049362182617
78,Bad and Boujee (feat. Lil Uzi Vert),Swang,613.8769016265869
79,Fake Love,Bounce Back,613.4234323501587
80,Black Beatles,Bounce Back,613.0843706130981
81,HUMBLE.,No Problem (feat. Lil Wayne & 2 Chainz),612.0660047531128
82,HUMBLE.,Caroline,611.5533742904663
83,Chill Bill,Bounce Back,610.3643417358398
84,No Heart,X (feat. Future),608.1982755661011
85,Congratulations,T-Shirt,608.0913047790527
86,Fake Love,Black Beatles,606.4656982421875
87,XO TOUR Llif3,rockstar,606.2637214660645
88,No Problem (feat. Lil Wayne & 2 Chainz),Bounce Back,605.5630521774292
89,Black Beatles,Bad and Boujee (feat. Lil Uzi Vert),604.908275604248
90,You Was Right,Money Longer,604.8971996307373
91,Slippery (feat. Gucci Mane),Bad and Boujee (feat. Lil Uzi Vert),602.5116062164307
92,Slippery (feat. Gucci Mane),T-Shirt,601.2157821655273
93,goosebumps,Bank Account,600.205078125
94,Magnolia,Slippery (feat. Gucci Mane),600.1933364868164
95,Congratulations,Tunnel Vision,599.8804378509521
96,Black Beatles,Chill Bill,599.2244033813477
97,Mask Off,Swang,596.684944152832
98,HUMBLE.,Fake Love,594.7042617797852
99,Chill Bill,Caroline,593.1963958740234
100,Mask Off,DNA.,591.1241569519043
101,Congratulations,Caroline,588.2699966430664
102,No Problem (feat. Lil Wayne & 2 Chainz),Congratulations,588.0451011657715
103,Jumpman,Panda,586.0496044158936
104,HUMBLE.,rockstar,585.0451698303223
105,Fake Love,Bad and Boujee (feat. Lil Uzi Vert),579.5508842468262
106,Magnolia,Tunnel Vision,577.8425207138062
107,Mask Off,Congratulations,577.2212619781494
108,You Was Right,Bounce Back,577.1653890609741
109,XO TOUR Llif3,Bank Account,575.7755851745605
110,Exchange,Don't,574.7790098190308
111,Rolex,Congratulations,574.4427871704102
112,Broccoli (feat. Lil Yachty),Money Longer,572.9547500610352
113,Stay (with Alessia Cara),It Ain't Me (with Selena Gomez),571.8142967224121
114,iSpy (feat. Lil Yachty),T-Shirt,569.9403791427612
115,Magnolia,Congratulations,569.5294227600098
116,Cold Water (feat. Justin Bieber & MØ),Let Me Love You,568.3129272460938
117,HUMBLE.,Bad and Boujee (feat. Lil Uzi Vert),567.4244298934937
118,DNA.,Slippery (feat. Gucci Mane),567.0741558074951
119,DNA.,iSpy (feat. Lil Yachty),567.0160217285156
120,No Role Modelz,G.O.M.D.,564.6025352478027
121,goosebumps,T-Shirt,564.3549385070801
122,One Dance,Panda,563.3001079559326
123,No Role Modelz,No Problem (feat. Lil Wayne & 2 Chainz),562.5938720703125
124,Jumpman,Hotline Bling,561.6881704330444
125,I'm the One,Mask Off,560.8587341308594
126,Portland,Congratulations,560.6596803665161
127,What Do You Mean?,Sorry,559.552059173584
128,Chicken Fried,Knee Deep (feat. Jimmy Buffett),559.3392515182495
129,HUMBLE.,Broccoli (feat. Lil Yachty),557.4097595214844
130,I'm the One,iSpy (feat. Lil Yachty),555.2842655181885
131,Mask Off,goosebumps,554.1289196014404
132,One Dance,Never Be Like You,550.7048301696777
133,Butterfly Effect,rockstar,549.946044921875
134,HUMBLE.,Passionfruit,549.2031898498535
135,Congratulations,Bank Account,547.8096771240234
136,HUMBLE.,T-Shirt,546.6635646820068
137,Closer,Let Me Love You,545.3740539550781
138,No Problem (feat. Lil Wayne & 2 Chainz),Bad and Boujee (feat. Lil Uzi Vert),544.6032657623291
139,Mask Off,Slippery (feat. Gucci Mane),543.7278900146484
140,Fake Love,Caroline,541.0613021850586
141,Ride,Stressed Out,537.1258211135864
142,HUMBLE.,Swang,536.1538238525391
143,Butterfly Effect,Congratulations,535.0693702697754
144,Magnolia,Mask Off,532.5221481323242
145,No Role Modelz,White Iverson,532.3165893554688
146,rockstar,Bank Account,531.5161781311035
147,Jumpman,White Iverson,531.4665794372559
148,Tunnel Vision,Bounce Back,530.3843822479248
149,Butterfly Effect,Mask Off,530.3193740844727
150,I'm the One,Slide,530.2258758544922
151,Don't Let Me Down,This Is What You Came For,530.0777969360352
152,You Was Right,Bad and Boujee (feat. Lil Uzi Vert),529.9052200317383
153,goosebumps,X (feat. Future),529.704231262207
154,One Night,Broccoli (feat. Lil Yachty),527.5673389434814
155,Broccoli (feat. Lil Yachty),Fake Love,527.3168621063232
156,Despacito - Remix,Location,527.2109985351562
157,goosebumps,pick up the phone,526.9249649047852
158,Magnolia,Butterfly Effect,525.7206854820251
159,One Dance,Pop Style,524.5094146728516
160,XO TOUR Llif3,Bounce Back,524.3796920776367
161,I'm the One,Unforgettable,524.2830505371094
162,Broccoli (feat. Lil Yachty),Come Get Her,524.1112804412842
163,One Dance,Cold Water (feat. Justin Bieber & MØ),523.4862651824951
164,Chill Bill,Bad and Boujee (feat. Lil Uzi Vert),523.2661876678467
165,Mask Off,Portland,523.207540512085
166,I'm the One,Bad and Boujee (feat. Lil Uzi Vert),523.1663045883179
167,DNA.,T-Shirt,522.519121170044
168,goosebumps,Antidote,522.5107440948486
169,Broccoli (feat. Lil Yachty),Starboy,522.3976163864136
170,HUMBLE.,Portland,521.7121124267578
171,Broccoli (feat. Lil Yachty),Antidote,521.2096195220947
172,Tunnel Vision,Swang,519.3328285217285
173,Jumpman,Low Life,518.0257415771484
174,Mask Off,T-Shirt,517.0161323547363
175,Starboy,Closer,515.7823791503906
176,You Was Right,iSpy (feat. Lil Yachty),515.6510353088379
177,goosebumps,Tunnel Vision,515.4950141906738
178,The Hills,Can't Feel My Face,513.1640434265137
179,XO TOUR Llif3,Caroline,512.6280727386475
180,One Dance,Don't Let Me Down,511.8472595214844
181,No Problem (feat. Lil Wayne & 2 Chainz),iSpy (feat. Lil Yachty),511.783839225769
182,Congratulations,rockstar,511.290265083313
183,Don't Let Me Down,I Took A Pill In Ibiza - Seeb Remix,511.2286834716797
184,Broccoli (feat. Lil Yachty),pick up the phone,511.012487411499
185,You Was Right,Caroline,510.5689287185669
186,Jumpman,Big Rings,510.0739421844482
187,Broccoli (feat. Lil Yachty),Panda,509.88147163391113
188,House Party,Body Like A Back Road,508.1126518249512
189,Broccoli (feat. Lil Yachty),Low Life,506.5417261123657
190,Congratulations,Slippery (feat. Gucci Mane),506.0009536743164
191,Sweet Child O' Mine,Welcome To The Jungle,505.90598821640015
192,Closer,This Is What You Came For,503.6559782028198
193,Fake Love,Congratulations,503.3451099395752
194,Black Beatles,iSpy (feat. Lil Yachty),501.9891986846924
195,DNA.,Bad and Boujee (feat. Lil Uzi Vert),501.9165830612183
196,H.O.L.Y.,Die A Happy Man,500.8038940429688
197,Bodak Yellow,Rake It Up,500.7495126724243
198,DNA.,Drowning (feat. Kodak Black),499.75687980651855
199,Sweet Child O' Mine,Paradise City,499.4815158843994
200,goosebumps,iSpy (feat. Lil Yachty),497.5867853164673
201,Fake Love,iSpy (feat. Lil Yachty),497.26666259765625
202,goosebumps,Unforgettable,496.4090919494629
203,HUMBLE.,Moves,496.2953453063965
204,iSpy (feat. Lil Yachty),Tunnel Vision,496.0982036590576
205,No Problem (feat. Lil Wayne & 2 Chainz),Mask Off,495.5993270874024
206,Young Dumb & Broke,Location,494.8513841629028
207,No Problem (feat. Lil Wayne & 2 Chainz),Black Beatles,494.6259269714356
208,Play It Again,That's My Kind Of Night,491.5249423980713
209,One Dance,Black Beatles,491.1868171691895
