,key1,key2,similarity
0,HUMBLE.,DNA.,1088.5078468322754
1,Broccoli (feat. Lil Yachty),Caroline,1057.6202144622805
2,XO TOUR Llif3,Congratulations,1025.6949462890625
3,iSpy (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),1011.055850982666
4,Caroline,iSpy (feat. Lil Yachty),951.1005020141602
5,Congratulations,iSpy (feat. Lil Yachty),938.8668231964112
6,Broccoli (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),924.3101806640624
7,Caroline,Bounce Back,913.525457382202
8,XO TOUR Llif3,Mask Off,888.7594146728516
9,HUMBLE.,Mask Off,879.2195129394531
10,HUMBLE.,XO TOUR Llif3,865.7921600341797
11,XO TOUR Llif3,Bank Account,847.9604072570801
12,One Dance,Broccoli (feat. Lil Yachty),843.8631935119629
13,XO TOUR Llif3,iSpy (feat. Lil Yachty),821.1480731964111
14,Bad and Boujee (feat. Lil Uzi Vert),Bounce Back,814.0077476501465
15,HUMBLE.,1-800-273-8255,813.9652061462402
16,goosebumps,T-Shirt,799.5028295516968
17,Caroline,Bad and Boujee (feat. Lil Uzi Vert),796.7868976593018
18,XO TOUR Llif3,Tunnel Vision,793.019552230835
19,Broccoli (feat. Lil Yachty),Fake Love,790.9753112792969
20,goosebumps,Bounce Back,789.194938659668
21,T-Shirt,Bounce Back,773.5491371154785
22,Fake Love,Black Beatles,772.3855590820312
23,Congratulations,Bounce Back,771.7516479492188
24,I'm the One,Despacito - Remix,769.6205101013184
25,Congratulations,rockstar,766.935338973999
26,Congratulations,Bad and Boujee (feat. Lil Uzi Vert),755.1140785217285
27,The Hills,Can't Feel My Face,754.3511438369751
28,Tunnel Vision,Bad and Boujee (feat. Lil Uzi Vert),751.6457099914551
29,HUMBLE.,Slippery (feat. Gucci Mane),751.4687976837158
30,Mask Off,Bad and Boujee (feat. Lil Uzi Vert),744.5922031402588
31,iSpy (feat. Lil Yachty),Bounce Back,743.4254188537598
32,Mask Off,Bounce Back,739.8591327667236
33,XO TOUR Llif3,T-Shirt,738.2517242431641
34,HUMBLE.,Bounce Back,731.43896484375
35,XO TOUR Llif3,goosebumps,730.4685688018799
36,XO TOUR Llif3,DNA.,728.3432121276855
37,Broccoli (feat. Lil Yachty),Bounce Back,721.6272583007812
38,Jumpman,Broccoli (feat. Lil Yachty),719.9137229919434
39,goosebumps,Bad and Boujee (feat. Lil Uzi Vert),718.601375579834
40,XO TOUR Llif3,Unforgettable,711.4830665588379
41,XO TOUR Llif3,Drowning (feat. Kodak Black),708.6592044830322
42,Fake Love,iSpy (feat. Lil Yachty),707.6487121582031
43,No Problem (feat. Lil Wayne & 2 Chainz),Broccoli (feat. Lil Yachty),706.9529056549072
44,XO TOUR Llif3,rockstar,703.4946956634521
45,Mask Off,Tunnel Vision,702.5992012023926
46,Mask Off,Congratulations,700.911548614502
47,Chill Bill,Bad and Boujee (feat. Lil Uzi Vert),699.5841617584229
48,Mask Off,Swang,697.8179416656494
49,Congratulations,T-Shirt,697.5164966583252
50,HUMBLE.,Congratulations,695.4821395874023
51,iSpy (feat. Lil Yachty),Tunnel Vision,694.5374450683594
52,Fake Love,Congratulations,693.7999839782715
53,No Role Modelz,Wet Dreamz,691.3040943145752
54,One Dance,Work,689.4313526153564
55,XO TOUR Llif3,Caroline,688.0008506774902
56,Congratulations,Slippery (feat. Gucci Mane),686.7155799865723
57,HUMBLE.,Broccoli (feat. Lil Yachty),684.0937957763672
58,Too Good,Controlla,682.2450370788574
59,Chill Bill,Caroline,680.4311599731445
60,XO TOUR Llif3,Slippery (feat. Gucci Mane),679.6404857635498
61,Broccoli (feat. Lil Yachty),Black Beatles,679.5853500366211
62,What Do You Mean?,Sorry,679.4560718536377
63,goosebumps,DNA.,679.4047088623047
64,Fake Love,Caroline,676.3266277313232
65,One Dance,Too Good,675.1115798950195
66,Sorry,Love Yourself,667.9650077819824
67,HUMBLE.,Bad and Boujee (feat. Lil Uzi Vert),667.1070861816406
68,Slippery (feat. Gucci Mane),T-Shirt,665.9620971679688
69,T-Shirt,Bad and Boujee (feat. Lil Uzi Vert),662.55126953125
70,I'm the One,Congratulations,661.3441772460938
71,Mask Off,iSpy (feat. Lil Yachty),656.9371871948242
72,Trap Queen,679 (feat. Remy Boyz),653.2734432220459
73,Ride,Stressed Out,641.8198595046997
74,HUMBLE.,Tunnel Vision,639.6136512756348
75,HUMBLE.,Bank Account,638.8528728485107
76,No Heart,X (feat. Future),638.6081743240356
77,No Problem (feat. Lil Wayne & 2 Chainz),Caroline,636.4080200195312
78,Congratulations,Swang,634.2736263275146
79,goosebumps,Tunnel Vision,634.0588283538818
80,goosebumps,Congratulations,632.9895515441895
81,Mask Off,goosebumps,632.4297618865967
82,No Role Modelz,Jumpman,625.5650997161865
83,Broccoli (feat. Lil Yachty),Panda,623.9338912963867
84,DNA.,Congratulations,623.8765411376953
85,Fake Love,Bounce Back,619.6828708648682
86,Broccoli (feat. Lil Yachty),Money Longer,618.791130065918
87,goosebumps,Drowning (feat. Kodak Black),618.2822284698486
88,Congratulations,Caroline,617.6835098266602
89,T-Shirt,Die A Happy Man,614.4113368988037
90,Closer,Let Me Love You,613.5458450317383
91,Butterfly Effect,Bank Account,613.3940086364746
92,Black Beatles,Bounce Back,613.0843544006348
93,Black Beatles,Caroline,612.333703994751
94,No Type,Come Get Her,611.1845970153809
95,No Role Modelz,G.O.M.D.,610.8814315795898
96,No Problem (feat. Lil Wayne & 2 Chainz),iSpy (feat. Lil Yachty),610.2038230895996
97,XO TOUR Llif3,Bounce Back,609.5913772583008
98,Mask Off,Slippery (feat. Gucci Mane),607.6958408355713
99,No Role Modelz,Broccoli (feat. Lil Yachty),607.628059387207
100,T-Shirt,X (feat. Future),605.736650466919
101,HUMBLE.,iSpy (feat. Lil Yachty),605.2878036499023
102,rockstar,Bank Account,604.8287544250488
103,Broccoli (feat. Lil Yachty),Chill Bill,601.3958129882812
104,DNA.,Slippery (feat. Gucci Mane),601.2941675186157
105,DNA.,T-Shirt,595.0912408828735
106,Exchange,Don't,595.0177307128906
107,XO TOUR Llif3,Bad and Boujee (feat. Lil Uzi Vert),593.701057434082
108,Chill Bill,Bounce Back,593.4097766876221
109,Caroline,T-Shirt,592.776517868042
110,goosebumps,X (feat. Future),588.5602951049805
111,HUMBLE.,Fake Love,587.4517707824707
112,DNA.,Tunnel Vision,587.0559015274048
113,goosebumps,Bank Account,585.199951171875
114,Tunnel Vision,Drowning (feat. Kodak Black),585.1217231750488
115,Congratulations,Tunnel Vision,582.2368640899658
116,In the Name of Love,Closer,582.0781555175781
117,Black Beatles,Bad and Boujee (feat. Lil Uzi Vert),580.7119140625
118,Stay (with Alessia Cara),It Ain't Me (with Selena Gomez),580.2233085632324
119,iSpy (feat. Lil Yachty),Swang,578.4130096435547
120,Roses,Don't Let Me Down,577.3087158203125
121,One Dance,Panda,577.0391616821289
122,I'm the One,Passionfruit,576.3986349105835
123,goosebumps,rockstar,573.8559913635254
124,Jumpman,Antidote,569.1164970397949
125,Broccoli (feat. Lil Yachty),Controlla,568.0280342102051
126,DNA.,iSpy (feat. Lil Yachty),567.0160522460938
127,Shape of You,That's What I Like,564.8774814605713
128,Magnolia,Slippery (feat. Gucci Mane),562.6812744140625
129,I'm the One,iSpy (feat. Lil Yachty),561.7410316467285
130,Slippery (feat. Gucci Mane),Tunnel Vision,561.161693572998
131,Slippery (feat. Gucci Mane),Drowning (feat. Kodak Black),560.2274513244629
132,Jumpman,679 (feat. Remy Boyz),559.0532073974609
