,key1,key2,similarity
0,HUMBLE.,DNA.,1155.699634552002
1,HUMBLE.,XO TOUR Llif3,1146.7948546409607
2,HUMBLE.,Congratulations,1026.664150238037
3,HUMBLE.,Mask Off,1003.7756323814392
4,Broccoli (feat. Lil Yachty),Caroline,937.6066327095032
5,Bad and Boujee (feat. Lil Uzi Vert),Bounce Back,906.659014225006
6,XO TOUR Llif3,Congratulations,897.483057975769
7,Mask Off,Congratulations,893.3186197280884
8,iSpy (feat. Lil Yachty),Bounce Back,877.3759655952454
9,No Problem (feat. Lil Wayne & 2 Chainz),Broccoli (feat. Lil Yachty),856.9125938415527
10,XO TOUR Llif3,goosebumps,842.8483271598816
11,Mask Off,Bad and Boujee (feat. Lil Uzi Vert),840.0527629852295
12,Congratulations,Bounce Back,836.0643038749695
13,One Dance,Broccoli (feat. Lil Yachty),835.5900249481201
14,HUMBLE.,goosebumps,834.5733118057251
15,Congratulations,iSpy (feat. Lil Yachty),822.418242931366
16,Caroline,Bounce Back,798.4889183044434
17,Mask Off,Bounce Back,796.7714138031006
18,Caroline,Bad and Boujee (feat. Lil Uzi Vert),783.1666088104248
19,iSpy (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),781.8831729888916
20,One Dance,Too Good,771.5560340881348
21,HUMBLE.,Bad and Boujee (feat. Lil Uzi Vert),766.7897701263428
22,goosebumps,Congratulations,762.3099975585938
23,HUMBLE.,iSpy (feat. Lil Yachty),760.4898357391357
24,Broccoli (feat. Lil Yachty),iSpy (feat. Lil Yachty),757.2484159469604
25,Closer,Cold Water (feat. Justin Bieber & MØ),757.1666679382324
26,XO TOUR Llif3,Mask Off,756.3910102844238
27,HUMBLE.,Slippery (feat. Gucci Mane),751.4688348770142
28,Caroline,iSpy (feat. Lil Yachty),751.231607913971
29,Broccoli (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),748.2510824203491
30,HUMBLE.,T-Shirt,737.3601570129395
31,HUMBLE.,Bounce Back,731.43896484375
32,HUMBLE.,I'm the One,727.1843891143799
33,XO TOUR Llif3,DNA.,722.5627303123474
34,Fake Love,Congratulations,714.2058992385864
35,Mask Off,DNA.,713.810302734375
36,Don't Let Me Down,Closer,712.9123649597168
37,Mask Off,T-Shirt,712.216100692749
38,Black Beatles,Bad and Boujee (feat. Lil Uzi Vert),707.7426824569702
39,XO TOUR Llif3,Drowning (feat. Kodak Black),703.52397108078
40,HUMBLE.,No Problem (feat. Lil Wayne & 2 Chainz),701.6366395950317
41,Congratulations,Tunnel Vision,699.8605108261108
42,XO TOUR Llif3,Bad and Boujee (feat. Lil Uzi Vert),699.2479457855225
43,XO TOUR Llif3,Slippery (feat. Gucci Mane),696.2170629501343
44,Sorry,Love Yourself,695.2288856506348
45,Mask Off,Tunnel Vision,692.190345287323
46,I'm the One,Despacito - Remix,686.0958218574524
47,Broccoli (feat. Lil Yachty),Black Beatles,679.5853500366211
48,T-Shirt,Bad and Boujee (feat. Lil Uzi Vert),673.5937519073486
49,Roses,Don't Let Me Down,661.499605178833
50,iSpy (feat. Lil Yachty),Tunnel Vision,655.9520692825317
51,XO TOUR Llif3,iSpy (feat. Lil Yachty),654.2480115890503
52,Closer,Let Me Love You,653.312668800354
53,Broccoli (feat. Lil Yachty),Chill Bill,651.5121803283691
54,Fake Love,Bad and Boujee (feat. Lil Uzi Vert),648.8450117111206
55,XO TOUR Llif3,Tunnel Vision,647.3629188537598
56,Broccoli (feat. Lil Yachty),Panda,644.0608062744141
57,XO TOUR Llif3,Unforgettable,643.7227563858032
58,XO TOUR Llif3,Bounce Back,642.365122795105
59,One Dance,Controlla,640.3706860542297
60,XO TOUR Llif3,Bank Account,638.5874671936035
61,No Problem (feat. Lil Wayne & 2 Chainz),Caroline,636.4080047607422
62,HUMBLE.,Tunnel Vision,633.3429613113403
63,XO TOUR Llif3,Butterfly Effect,628.2349853515625
64,Congratulations,Bad and Boujee (feat. Lil Uzi Vert),625.6659507751465
65,rockstar,Bank Account,623.1568984985352
66,One Dance,Panda,618.2562160491943
67,HUMBLE.,Bank Account,614.5156044960022
68,Mask Off,goosebumps,614.3603239059448
69,Congratulations,T-Shirt,614.0529842376709
70,Mask Off,iSpy (feat. Lil Yachty),611.853232383728
71,XO TOUR Llif3,Magnolia,611.130651473999
72,Congratulations,Caroline,610.3301215171814
73,Young Dumb & Broke,Location,610.3167071342468
74,Trap Queen,679 (feat. Remy Boyz),606.6110172271729
75,Bad and Boujee (feat. Lil Uzi Vert),X (feat. Future),606.3246474266052
76,No Role Modelz,Wet Dreamz,606.1434450149536
77,Broccoli (feat. Lil Yachty),Bounce Back,605.000657081604
78,HUMBLE.,Broccoli (feat. Lil Yachty),599.6377716064453
79,HUMBLE.,Passionfruit,599.1307525634766
80,One Dance,Needed Me,597.3975944519043
81,Mask Off,Slippery (feat. Gucci Mane),597.0345458984375
82,Don't Let Me Down,I Took A Pill In Ibiza - Seeb Remix,596.433464050293
83,HUMBLE.,Rolex,596.0851740837097
84,HUMBLE.,Caroline,595.8725185394287
85,HUMBLE.,Magnolia,595.7947845458984
86,Broccoli (feat. Lil Yachty),Congratulations,594.0716743469238
87,You Was Right,Money Longer,592.9584391117096
88,XO TOUR Llif3,rockstar,589.1053142547607
89,Too Good,Controlla,588.6035614013672
90,HUMBLE.,Unforgettable,584.1643099784851
91,One Dance,Caroline,583.7065868377686
92,What Do You Mean?,Sorry,581.7565059661865
93,goosebumps,Slippery (feat. Gucci Mane),580.7974004745483
94,Jumpman,Panda,580.1891083717346
95,Fake Love,Caroline,579.7085380554199
96,Broccoli (feat. Lil Yachty),Fake Love,575.8855204582214
97,Black Beatles,Caroline,575.2225556373596
98,Jumpman,Antidote,574.5366878509521
99,Fake Love,iSpy (feat. Lil Yachty),573.7692260742188
100,Mask Off,Caroline,572.6361389160156
