,key1,key2,similarity
0,HUMBLE.,DNA.,1061.6310596466064
1,HUMBLE.,XO TOUR Llif3,994.90149641037
2,HUMBLE.,Congratulations,981.126627445221
3,HUMBLE.,Mask Off,974.4683146476746
4,XO TOUR Llif3,Congratulations,922.4131429195404
5,XO TOUR Llif3,Mask Off,860.3947741985321
6,HUMBLE.,goosebumps,852.7162098884583
7,Bad and Boujee (feat. Lil Uzi Vert),Bounce Back,833.861575126648
8,Broccoli (feat. Lil Yachty),Caroline,832.5946898460388
9,iSpy (feat. Lil Yachty),Bounce Back,823.7957539558411
10,Mask Off,Congratulations,807.4225986003876
11,HUMBLE.,Bad and Boujee (feat. Lil Uzi Vert),797.4613609313965
12,No Problem (feat. Lil Wayne & 2 Chainz),Broccoli (feat. Lil Yachty),778.3622727394104
13,HUMBLE.,Bounce Back,773.3443222045898
14,Congratulations,Bad and Boujee (feat. Lil Uzi Vert),773.0929851531982
15,Caroline,Bounce Back,771.4214973449707
16,iSpy (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),765.0322425365448
17,HUMBLE.,iSpy (feat. Lil Yachty),756.6097855567932
18,XO TOUR Llif3,iSpy (feat. Lil Yachty),754.3880133628845
19,Congratulations,iSpy (feat. Lil Yachty),745.9988486766815
20,Mask Off,Bad and Boujee (feat. Lil Uzi Vert),735.0461676120758
21,One Dance,Too Good,732.978232383728
22,Mask Off,goosebumps,731.8115622997284
23,Congratulations,Bounce Back,728.8765726089478
24,goosebumps,Congratulations,728.2783012390137
25,XO TOUR Llif3,goosebumps,727.3468897342682
26,XO TOUR Llif3,Slippery (feat. Gucci Mane),723.8447241783142
27,Caroline,Bad and Boujee (feat. Lil Uzi Vert),721.8753089904785
28,Broccoli (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),715.2400052547455
29,HUMBLE.,Caroline,713.4789366722107
30,Broccoli (feat. Lil Yachty),Black Beatles,709.5670566558838
31,Mask Off,Bounce Back,705.0794653892517
32,I'm the One,Despacito - Remix,695.0448977947235
33,Broccoli (feat. Lil Yachty),iSpy (feat. Lil Yachty),694.1443812847137
34,Mask Off,T-Shirt,691.1134014129639
35,XO TOUR Llif3,Magnolia,689.9862194061279
36,Caroline,iSpy (feat. Lil Yachty),689.2033100128174
37,I'm the One,Congratulations,688.9001846313477
38,DNA.,Congratulations,686.8944082260132
39,Broccoli (feat. Lil Yachty),Chill Bill,685.9671514034271
40,HUMBLE.,Tunnel Vision,683.5087404251099
41,Fake Love,Bounce Back,679.1473715305328
42,HUMBLE.,T-Shirt,676.9729027748108
43,HUMBLE.,Slippery (feat. Gucci Mane),674.3951082229614
44,Mask Off,Tunnel Vision,673.974809885025
45,T-Shirt,Bad and Boujee (feat. Lil Uzi Vert),673.5937519073486
46,Mask Off,iSpy (feat. Lil Yachty),673.0385556221008
47,Fake Love,Bad and Boujee (feat. Lil Uzi Vert),670.8931431770325
48,Slippery (feat. Gucci Mane),T-Shirt,670.5868339538574
49,Congratulations,Tunnel Vision,670.4546070098877
50,Closer,Cold Water (feat. Justin Bieber & MØ),664.8292694091797
51,goosebumps,Bad and Boujee (feat. Lil Uzi Vert),661.8697214126587
52,Don't Let Me Down,Closer,661.5004155635834
53,XO TOUR Llif3,Bank Account,656.9075994491577
54,One Dance,Broccoli (feat. Lil Yachty),653.5803165435791
55,XO TOUR Llif3,Drowning (feat. Kodak Black),652.1718564033508
56,Trap Queen,679 (feat. Remy Boyz),650.6810483932495
57,XO TOUR Llif3,DNA.,647.4162063598633
58,Fake Love,Congratulations,642.7853093147278
59,XO TOUR Llif3,Tunnel Vision,639.2708823680878
60,Broccoli (feat. Lil Yachty),Fake Love,638.3309383392334
61,Black Beatles,Bad and Boujee (feat. Lil Uzi Vert),638.1782307624817
62,XO TOUR Llif3,Bad and Boujee (feat. Lil Uzi Vert),636.5794978141785
63,Mask Off,DNA.,635.7373008728027
64,One Dance,Needed Me,634.7349441051483
65,Fake Love,iSpy (feat. Lil Yachty),627.9585418701172
66,No Problem (feat. Lil Wayne & 2 Chainz),Bad and Boujee (feat. Lil Uzi Vert),625.6454184055328
67,XO TOUR Llif3,T-Shirt,623.4125490188599
68,Broccoli (feat. Lil Yachty),Bounce Back,623.2235684394836
69,One Dance,Controlla,619.8083245754242
70,Congratulations,rockstar,614.1718428134918
71,HUMBLE.,I'm the One,613.3322877883911
72,No Role Modelz,Jumpman,609.7679705619812
73,Black Beatles,Caroline,609.2410938739777
74,No Problem (feat. Lil Wayne & 2 Chainz),Caroline,603.2617545127869
75,goosebumps,iSpy (feat. Lil Yachty),602.8455283641815
76,One Dance,Work,602.4760160446167
77,Closer,Let Me Love You,602.1838512420654
78,Young Dumb & Broke,Location,602.0691840648651
79,Chill Bill,Caroline,601.9198722839355
80,What Do You Mean?,Sorry,601.7405080795288
81,Jumpman,Panda,600.7008445262909
82,XO TOUR Llif3,Bounce Back,599.759272813797
83,Mask Off,Slippery (feat. Gucci Mane),599.699878692627
84,Congratulations,T-Shirt,599.1487855911255
85,Fake Love,Caroline,599.0321559906006
86,Cold Water (feat. Justin Bieber & MØ),Let Me Love You,597.1725680828094
87,goosebumps,Bounce Back,595.0279450416565
88,HUMBLE.,Unforgettable,594.0097758769989
89,Congratulations,Caroline,591.9466841220856
90,Broccoli (feat. Lil Yachty),Panda,590.3890724182129
91,HUMBLE.,No Problem (feat. Lil Wayne & 2 Chainz),589.673346042633
92,iSpy (feat. Lil Yachty),T-Shirt,589.4971568584442
93,T-Shirt,Tunnel Vision,589.2369782924652
94,Broccoli (feat. Lil Yachty),Congratulations,586.1507186889648
95,Black Beatles,Bounce Back,586.0365307331085
96,XO TOUR Llif3,Swang,584.4274516105652
97,HUMBLE.,Magnolia,584.3371925354004
98,goosebumps,T-Shirt,582.6442189216614
99,One Dance,Panda,580.4738917350769
100,Congratulations,Drowning (feat. Kodak Black),579.4241960048676
101,I'm the One,iSpy (feat. Lil Yachty),577.8830437660217
102,Bad and Boujee (feat. Lil Uzi Vert),X (feat. Future),577.822206735611
103,Bad and Boujee (feat. Lil Uzi Vert),Swang,574.1865847110748
104,Congratulations,Location,572.5344891548157
105,Slippery (feat. Gucci Mane),Bank Account,571.0400705337524
106,No Problem (feat. Lil Wayne & 2 Chainz),iSpy (feat. Lil Yachty),570.8358206748962
107,You Was Right,Money Longer,569.0809180736542
108,goosebumps,DNA.,568.932382106781
109,Jumpman,Broccoli (feat. Lil Yachty),568.1672029495239
110,No Role Modelz,G.O.M.D.,566.9164800643921
111,No Role Modelz,Wet Dreamz,566.0678453445435
112,Roses,Don't Let Me Down,565.2814807891846
113,T-Shirt,Bounce Back,565.0749015808105
114,goosebumps,Tunnel Vision,564.4670405387878
115,One Dance,Don't Let Me Down,561.6101875305176
116,HUMBLE.,Drowning (feat. Kodak Black),561.0960273742676
117,HUMBLE.,Broccoli (feat. Lil Yachty),557.4097595214844
118,Congratulations,Slippery (feat. Gucci Mane),557.2034311294556
119,One Dance,Jumpman,556.4694719314575
120,White Iverson,Congratulations,555.7819528579712
121,XO TOUR Llif3,rockstar,554.7884998321533
122,Congratulations,1-800-273-8255,552.379650592804
123,Swang,Bounce Back,552.1322965621948
124,HUMBLE.,Portland,551.6018688678741
125,HUMBLE.,Swang,551.3854665756226
126,Jumpman,Hotline Bling,550.6746768951416
127,HUMBLE.,Bank Account,550.6303188800812
128,I'm the One,Mask Off,548.6661529541016
129,One Dance,Closer,547.2829790115356
130,Chill Bill,Bad and Boujee (feat. Lil Uzi Vert),546.0168914794922
131,goosebumps,Slippery (feat. Gucci Mane),543.8375658988953
132,XO TOUR Llif3,Butterfly Effect,542.3434834480286
133,Mask Off,Swang,541.0617713928223
134,Slippery (feat. Gucci Mane),Bad and Boujee (feat. Lil Uzi Vert),538.3552777767181
135,HUMBLE.,Butterfly Effect,536.2792711257935
136,No Problem (feat. Lil Wayne & 2 Chainz),Congratulations,535.5410742759705
137,XO TOUR Llif3,Unforgettable,533.6122848987579
138,Magnolia,Bank Account,533.0265998840332
139,Mask Off,Drowning (feat. Kodak Black),532.5668406486511
140,Butterfly Effect,goosebumps,532.3115427494049
141,rockstar,Bank Account,531.5161781311035
142,Congratulations,Swang,531.4184288978577
143,XO TOUR Llif3,Portland,530.6455895900726
144,HUMBLE.,rockstar,528.5351250171661
145,Too Good,Controlla,528.4054698944092
146,goosebumps,Swang,528.404004573822
147,Don't Let Me Down,I Took A Pill In Ibiza - Seeb Remix,527.2045798301697
148,Fake Love,Black Beatles,526.366455078125
149,Don't Let Me Down,This Is What You Came For,524.9808950424194
150,iSpy (feat. Lil Yachty),Swang,524.8562650680542
151,Congratulations,Bank Account,522.1310985088348
152,Broccoli (feat. Lil Yachty),Low Life,521.9850714206696
153,iSpy (feat. Lil Yachty),Tunnel Vision,520.9031138420105
154,HUMBLE.,Fake Love,518.5531063079834
155,Tunnel Vision,Bad and Boujee (feat. Lil Uzi Vert),517.4372792243958
156,You Was Right,Bad and Boujee (feat. Lil Uzi Vert),517.1671137809753
157,DNA.,iSpy (feat. Lil Yachty),516.81147813797
158,One Dance,This Is What You Came For,516.2493777275085
159,Exchange,Don't,512.0390474796295
160,No Problem (feat. Lil Wayne & 2 Chainz),Fake Love,508.9673562049866
161,goosebumps,pick up the phone,507.4092254638672
162,Jumpman,Antidote,506.7847199440002
163,I'm the One,Slide,505.37153792381287
164,No Role Modelz,No Problem (feat. Lil Wayne & 2 Chainz),505.0558624267578
165,Mask Off,Broccoli (feat. Lil Yachty),504.6838989257813
166,No Problem (feat. Lil Wayne & 2 Chainz),Bounce Back,502.4884901046753
167,Sorry,Love Yourself,502.1097507476807
168,Mask Off,Portland,500.6554913520813
169,Butterfly Effect,rockstar,500.5368299484253
170,The Hills,Can't Feel My Face,500.3349423408508
171,Redbone,Congratulations,499.8601198196411
172,Slippery (feat. Gucci Mane),iSpy (feat. Lil Yachty),499.6615812778473
173,HUMBLE.,1-800-273-8255,499.62904930114746
174,Magnolia,goosebumps,499.2017259597778
175,Slippery (feat. Gucci Mane),Bounce Back,498.9013910293579
176,DNA.,Bounce Back,498.7260789871216
177,Chicken Fried,Knee Deep (feat. Jimmy Buffett),497.94835805892944
178,Butterfly Effect,Bank Account,497.39961874485016
179,Magnolia,Mask Off,496.8621828556061
180,HUMBLE.,Rolex,494.91475462913513
181,Roses,Closer,494.05148792266846
182,I'm the One,That's What I Like,494.0072708129883
183,goosebumps,Broccoli (feat. Lil Yachty),492.9420533180237
184,Slippery (feat. Gucci Mane),Tunnel Vision,492.7273406982422
185,No Problem (feat. Lil Wayne & 2 Chainz),All Night (feat. Knox Fortune),492.2588081359863
186,Jumpman,Back To Back,491.8483102321625
187,Redbone,Location,488.2899346351624
188,Slippery (feat. Gucci Mane),Swang,487.6011610031128
189,DNA.,Bad and Boujee (feat. Lil Uzi Vert),487.3259847164154
190,Mask Off,Bank Account,487.2986059188843
191,Jumpman,Big Rings,487.0788054466248
192,Ride,Stressed Out,487.0547699928284
193,T-Shirt,Swang,486.9581208229065
194,One Dance,Fake Love,486.65252137184143
195,XO TOUR Llif3,I'm the One,486.5742173194885
196,I'm the One,Unforgettable,486.0540781021118
197,Broccoli (feat. Lil Yachty),Controlla,484.8320224285126
198,Rolex,Congratulations,484.6861016750336
199,Mask Off,X (feat. Future),482.796117067337
200,One Dance,Pop Style,482.6602592468262
201,Slippery (feat. Gucci Mane),Drowning (feat. Kodak Black),482.056161403656
202,DNA.,Slippery (feat. Gucci Mane),481.5241754055023
203,No Heart,X (feat. Future),479.8008618354797
204,Tunnel Vision,Bounce Back,478.96956968307495
205,Mask Off,Fake Love,478.531619310379
206,One Night,Broccoli (feat. Lil Yachty),478.43116521835327
207,H.O.L.Y.,Die A Happy Man,477.3287115097046
208,I'm the One,Location,475.78300762176514
209,House Party,Leave The Night On,475.6419396400452
210,HUMBLE.,Location,475.22878432273865
211,Tunnel Vision,Drowning (feat. Kodak Black),474.8814163208008
212,Chill Bill,Bounce Back,474.72782135009766
213,Fake Love,Starboy,474.47909116745
214,Chicken Fried,Wagon Wheel,474.433354973793
215,Congratulations,Unforgettable,474.00474071502686
216,goosebumps,Drowning (feat. Kodak Black),473.52569031715393
217,Rolex,iSpy (feat. Lil Yachty),473.506142616272
218,One Dance,Caroline,472.34151434898376
219,Broccoli (feat. Lil Yachty),Too Good,470.95255851745605
220,No Role Modelz,White Iverson,470.4193115234375
221,Black Beatles,Chill Bill,470.0812129974365
222,Body Like A Back Road,Die A Happy Man,470.0598912239074
223,White Iverson,Antidote,469.88262462615967
224,Chicken Fried,Toes,469.3271670341492
225,Jumpman,679 (feat. Remy Boyz),468.6181161403656
226,Shape of You,That's What I Like,468.0413417816162
227,goosebumps,Fake Love,468.01927495002747
228,Tunnel Vision,Swang,467.39954566955566
